unir,accidente
2013-01-01 00:00:00 4579,1
2013-01-01 00:00:00 4608,1
2013-01-01 02:30:00 3974,1
2013-01-01 04:00:00 3619,1
2013-01-01 07:30:00 9949,1
2013-01-01 09:00:00 4059,1
2013-01-01 09:30:00 6174,1
2013-01-01 12:30:00 4315,1
2013-01-01 13:00:00 4516,1
2013-01-01 15:00:00 5764,1
2013-01-01 17:00:00 5632,1
2013-01-01 19:00:00 6404,1
2013-01-01 21:30:00 6396,1
2013-01-02 01:00:00 9957,1
2013-01-02 01:30:00 3899,1
2013-01-02 06:30:00 3807,1
2013-01-02 07:00:00 5626,1
2013-01-02 07:30:00 4774,1
2013-01-02 08:00:00 10847,1
2013-01-02 08:30:00 3497,1
2013-01-02 08:30:00 5668,1
2013-01-02 08:30:00 6433,1
2013-01-02 11:00:00 3602,1
2013-01-02 11:00:00 3934,1
2013-01-02 12:00:00 4930,1
2013-01-02 12:30:00 9897,1
2013-01-02 15:00:00 4456,1
2013-01-02 16:00:00 4510,1
2013-01-02 16:30:00 7011,1
2013-01-02 17:00:00 6402,1
2013-01-02 18:00:00 3698,1
2013-01-02 18:30:00 3763,1
2013-01-02 19:00:00 4258,1
2013-01-02 19:30:00 10247,1
2013-01-02 19:30:00 10499,1
2013-01-02 19:30:00 3891,1
2013-01-02 19:30:00 6404,1
2013-01-02 20:30:00 10093,1
2013-01-02 22:30:00 5513,1
2013-01-02 23:00:00 3771,1
2013-01-03 00:00:00 3578,1
2013-01-03 00:30:00 4284,1
2013-01-03 05:30:00 3798,1
2013-01-03 07:00:00 4659,1
2013-01-03 08:00:00 3935,1
2013-01-03 08:00:00 5462,1
2013-01-03 08:00:00 5465,1
2013-01-03 08:30:00 6714,1
2013-01-03 10:00:00 5513,1
2013-01-03 11:00:00 3903,1
2013-01-03 12:30:00 4410,1
2013-01-03 13:00:00 4388,1
2013-01-03 14:00:00 3530,1
2013-01-03 14:00:00 3944,1
2013-01-03 14:00:00 5907,1
