fecha,hora,idelem,intensidad,ocupacion,carga,prec,vv,x_utm,y_utm,latitude,longitude
2023-03-14,16:45:05,3409,225,1,8,0.0,4.7,436004,4472588,40.401447264855946,-3.7541516712567753
2023-03-14,16:45:05,4739,360,6,29,0.0,4.7,436039,4472395,40.399707541055946,-3.7537194086223162
2023-03-14,16:45:05,10977,0,0,0,0.0,4.7,436040,4472398,40.399739296325265,-3.7537039894931885
2023-03-14,16:45:05,4760,135,1,10,0.0,4.7,436757,4472874,40.40408555215102,-3.7452987201273276
2023-03-14,16:45:05,4761,315,6,26,0.0,4.7,436765,4473038,40.40556178080068,-3.745229151125339
2023-03-14,16:45:05,4762,45,0,3,0.0,4.7,436658,4472903,40.40433268286957,-3.746467692876886
2023-03-14,16:45:05,4763,0,0,0,0.0,4.7,436448,4472837,40.4037233353608,-3.7489373358341744
2023-03-14,16:45:05,4764,135,1,14,0.0,4.7,436629,4472952,40.40477238801031,-3.746821454596829
2023-03-14,16:45:05,4766,270,3,20,0.0,4.7,436249,4472914,40.404404756026665,-3.7512971784274733
2023-03-14,16:45:05,4767,270,3,20,0.0,4.7,436361,4472885,40.40415045363472,-3.7499661551438326
2023-03-14,16:45:05,4768,45,0,3,0.0,4.7,436367,4472884,40.40413794623435,-3.749895874274726
2023-03-14,16:45:05,4769,180,1,13,0.0,4.7,436248,4472821,40.40356680577421,-3.75129894840193
2023-03-14,16:45:05,4771,180,25,25,0.0,4.7,436059,4473083,40.40590808131133,-3.7535517944105434
2023-03-14,16:45:05,10226,60,0,4,0.0,4.7,436124,4472975,40.40493992754528,-3.752775135597098
2023-03-14,16:45:05,10225,90,1,7,0.0,4.7,436117,4472976,40.404947541247125,-3.7528509614254917
2023-03-14,16:45:05,10228,150,1,12,0.0,4.7,436028,4472976,40.40494892284179,-3.7539047643432806
2023-03-14,16:45:05,10236,150,65,69,0.0,4.7,436066,4473064,40.405737747161076,-3.7534627319827223
2023-03-14,16:45:05,10237,60,14,17,0.0,4.7,436087,4473035,40.405482576501406,-3.7532147593452496
2023-03-14,16:45:05,4770,150,8,15,0.0,4.7,436105,4472993,40.405100082646555,-3.753001825735484
2023-03-14,16:45:05,10227,270,47,57,0.0,4.7,436076,4473003,40.40519219436624,-3.7533433257840207
2023-03-14,16:45:05,4772,60,37,26,0.0,4.7,436092,4473056,40.405669766984566,-3.753154023429542
2023-03-14,16:45:05,4765,45,8,11,0.0,4.7,436552,4472930,40.404566963059864,-3.7477276481713355
2023-03-14,16:45:05,4899,135,3,12,0.0,4.7,435542,4471607,40.3925777618193,-3.7594895842981075
2023-03-14,16:45:05,4900,360,1,13,0.0,4.7,435654,4471717,40.39357781091008,-3.7581796926215008
2023-03-14,16:45:05,4901,270,4,21,0.0,4.7,435700,4471991,40.39605057671605,-3.757667969346766
2023-03-14,16:45:05,4902,315,8,27,0.0,4.7,435728,4472052,40.39659327761453,-3.7573457206590164
2023-03-14,16:45:05,4915,90,50,53,0.0,4.7,435431,4471615,40.392635733927804,-3.7608005700636684
2023-03-14,16:45:05,3643,514,3,19,0.0,4.7,438563,4481214,40.47934581563388,-3.7248233354074394
2023-03-14,16:45:05,5870,356,1,10,0.0,4.7,438811,4481348,40.480569024498834,-3.7219188195717923
2023-03-14,16:45:05,5871,910,16,41,0.0,4.7,438804,4481352,40.48060668410439,-3.7219994839349195
2023-03-14,16:45:05,5872,579,4,22,0.0,4.7,439040,4481473,40.48171910079706,-3.7192295460056464
2023-03-14,16:45:05,5873,752,4,27,0.0,4.7,439027,4481476,40.48173858735004,-3.7193740984009325
2023-03-14,16:45:05,5874,791,4,28,0.0,4.7,439312,4481578,40.48268402941206,-3.7160293885529163
2023-03-14,16:45:05,5875,475,2,16,0.0,4.7,439307,4481585,40.48274357604977,-3.7160894653011844
2023-03-14,16:45:05,5876,949,7,34,0.0,4.7,439564,4481659,40.483428555238305,-3.7130593950728614
2023-03-14,16:45:05,5877,1424,8,50,0.0,4.7,439757,4481791,40.48462804887839,-3.7107938099229614
2023-03-14,16:45:05,5878,198,0,5,0.0,4.7,439890,4481906,40.48567570767788,-3.709233096095797
2023-03-14,16:45:05,5879,673,2,24,0.0,4.7,440038,4482025,40.48676035089231,-3.707503658184976
2023-03-14,16:45:05,10027,720,9,30,0.0,4.7,440724,4482346,40.489696887447955,-3.6994402238260125
2023-03-14,16:45:05,5881,1784,6,55,0.0,4.7,440542,4482264,40.48894938541593,-3.701579780061374
2023-03-14,16:45:05,5882,158,3,13,0.0,4.7,438628,4481349,40.48057103474689,-3.724074521721753
2023-03-14,16:45:05,5883,475,7,20,0.0,4.7,439234,4481471,40.48170854362936,-3.7169377954776137
2023-03-14,16:45:05,5884,257,7,23,0.0,4.7,439378,4481422,40.481281861157036,-3.715229087521499
2023-03-14,16:45:05,5885,257,10,25,0.0,4.7,439613,4481518,40.48216000631294,-3.7124748450085816
2023-03-14,16:45:05,5886,309,3,12,0.0,4.7,439558,4481436,40.481419764468974,-3.7131135210784585
2023-03-14,16:45:05,10134,435,4,16,0.0,4.7,439938,4481840,40.485088378748884,-3.708668303734116
2023-03-14,16:45:05,5888,237,1,5,0.0,4.7,440009,4481796,40.48469296142248,-3.7078256757041843
2023-03-14,16:45:05,5889,712,3,18,0.0,4.7,440165,4481653,40.4834176541355,-3.7059719061692094
2023-03-14,16:45:05,5890,198,1,14,0.0,4.7,440000,4481651,40.483388383132265,-3.7079148752747244
2023-03-14,16:45:05,5891,277,1,10,0.0,4.7,440153,4481774,40.4845116087994,-3.7061233666143565
2023-03-14,16:45:05,5892,689,2,22,0.0,4.7,440747,4482494,40.491034987318024,-3.6991849101141994
2023-03-14,16:45:05,5893,751,4,29,0.0,4.7,440894,4482324,40.489515599513076,-3.6974318114061324
2023-03-14,16:45:05,5894,435,43,43,0.0,4.7,439366,4481693,40.483720997764024,-3.715400008176979
