,identif,idelem
0,17018,4350
1,32028,3596
2,32053,4583
3,32054,7024
4,33001,4585
5,60021,5468
6,60027,5473
7,60056,3448
8,44004,5910
9,61067,5578
10,61125,5582
11,63064,7020
12,97044,4264
13,97096,7002
14,41025,5835
15,41027,5837
16,45003,5949
17,PM10942,6673
18,PM12342,6813
19,47030,6091
20,47043,6102
21,53042,6168
22,55014,6234
23,98027,3577
24,05023,3578
25,32005,4546
26,55060,6270
27,57011,6342
28,59018,6372
29,64028,3431
30,65014,6430
31,75405,6579
32,75410,6953
33,82414,3772
34,25015,3830
35,25034,4799
36,36006,6635
37,38029,3571
38,10016,3617
39,80302,6834
40,13052,3466
41,15001,7113
42,19013,4414
43,33041,3592
44,33021,4604
45,14RM32PM01,1026
46,10004,4052
47,PM30901,3600
48,13301,4171
49,63044,5731
50,95002,5010
51,22003,4456
52,10NC18PM01,6893
53,89010,5382
54,31003,4497
55,19XC40PM01,7123
56,38048,6824
57,PM20411,6725
58,PM31452,6779
59,14006,4204
60,23008,6979
61,07013,3999
62,97302,5781
63,84046,9900
64,47004,6065
65,82403,5222
66,32036,4570
67,29016,9928
68,95009,5004
69,65017,6497
70,86038,5159
71,94026,10017
72,43018,5429
73,60018,5465
74,61113,5617
75,62052,5666
76,63039,5726
77,90020,4699
78,97073,3505
79,41029,5838
80,41056,9840
81,42009,5877
82,45047,5991
83,55403,6273
84,PM10712,3488
85,PM11071,6679
86,46413,6058
87,47023,6084
88,52410,6132
89,53019,6149
90,55006,6226
91,PM20321,6722
92,68002,6484
93,71036,6535
94,71037,6536
95,75406,6580
96,78006,6596
97,78009,3794
98,82008,5208
99,38017,4936
100,39060,5000
101,50017,5083
102,06043,4014
103,58003,5134
104,58012,5145
105,16060,4329
106,21001,4426
107,23013,3397
108,87024,5356
109,34035,4645
110,PM43152,6808
111,PM22901,6771
112,09019,4035
113,10010,4058
114,13038,4180
115,16062,4331
116,53409,6187
117,19004,4406
118,61108,5612
119,01015,7033
120,06019,3497
121,60046,5492
122,86017,5321
123,90EL00PM01,6880
124,90ET43PM01,6889
125,14NL78PM01,6866
126,04012,3918
127,PM41351,3704
128,33037,4620
129,14001,4199
130,86003,5306
131,86011,5314
132,97050,4270
133,43032,5443
134,90019,4698
135,93030,9913
136,62077,5687
137,32058,9918
138,87028,9936
139,29009,9931
140,44403,5944
141,95011,5005
142,16055,4326
143,73010,9995
144,42033,5897
145,42034,5898
146,62029,5645
147,93017,4734
148,97053,7057
149,97088,7104
150,97095,4154
151,53408,6186
152,41021,5831
153,42006,5874
154,44011,5917
155,45026,5972
156,45040,5985
157,45402,5995
158,PM12122,7125
159,47011,6072
160,47037,3831
161,54003,6195
162,55003,6223
163,37030,4909
164,PM33202,6788
165,57405,6351
166,59401,6387
167,65011,3804
168,71008,6510
169,24042,4772
170,25039,4804
171,36001,3835
172,37009,4896
173,39012,4966
174,39033,4981
175,48018,5015
176,48092,3553
177,50002,5063
178,50004,5065
179,50016,5079
180,50029,3573
181,06305,3988
182,09001,4018
183,80002,5150
184,80006,3771
185,80010,5156
186,17045,4376
187,85026,5303
188,30002,4479
189,34011,4629
190,07012,3998
191,PM30902,3838
192,PM20834,6745
193,PM20913,6751
194,19007,4409
195,11RE20PM01,6895
196,08RE66PM01,6907
197,31045,3733
198,90EL38PM01,6882
199,96024,5085
200,PM41452,6793
201,PM41852,6795
202,PM22081,3533
203,64024,6409
204,17004,4340
205,87003,5338
206,13051,3465
207,31018,7114
208,60058,5501
209,43011,5422
210,15015,4255
211,61082,5590
212,16004,7101
213,48003,4774
214,87030,9943
215,29017,10011
216,05708,10018
217,17009,3747
218,31014,4507
219,61009,5523
220,61017,5531
221,61019,5533
222,61048,5560
223,61075,5585
224,61122,5619
225,97091,4132
226,97092,4133
227,40402,7116
228,44041,5939
229,46015,6023
230,46027,6034
231,55002,6222
232,55409,6279
233,66001,3557
234,67009,6114
235,78004,6595
236,79003,6603
237,82029,5235
238,82401,5200
239,83405,6507
240,26016,4825
241,28018,4872
242,28038,4887
243,36015,5219
244,39058,3445
245,49029,3685
246,51013,5110
247,04011,3917
248,13017,4165
249,13003,3759
250,85002,5276
251,33022,4605
252,35034,4671
253,11031,4102
254,98038,4894
255,PM43011,6802
256,47019,6080
257,84032,5267
258,18017,3619
259,33012,4596
260,33010,4594
261,62038,5653
262,13NC25PM01,6872
263,11011,4084
264,09006,4022
265,13034,4177
266,18301,4397
267,93022,9887
268,84022,5257
269,65005,6423
270,97016,9914
271,29019,9933
272,48008,4781
273,65027,3810
274,16029,4303
275,32048,4578
276,40029,5808
277,61004,5518
278,42035,5899
279,42402,3713
280,62082,5692
281,97078,3516
282,97108,7076
283,40031,5810
284,41051,5859
285,PM10501,3818
286,47008,6069
287,47033,6094
288,53041,6167
289,54008,6200
290,55036,3658
291,55062,6924
292,57408,6354
293,66003,6469
294,73402,6542
295,75010,6568
296,75022,6954
297,79015,6612
298,88006,5362
299,26017,4826
300,26023,4830
301,26031,4838
302,28033,4882
303,38009,4930
304,38034,4952
305,02063,3906
306,13022,4168
307,10028,4072
308,84014,5249
309,84016,5250
310,16037,4309
311,21003,4428
312,21006,4431
313,22302,4467
314,31052,4530
315,02012,3867
316,33036,4619
317,79011,6608
318,31035,4520
319,12004,4112
320,13700,7136
321,PM207741,6742
322,PM20952,6752
323,94017,5398
324,53401,6179
325,08RE14PM01,1048
326,10XC82PM01,6892
327,01020,3854
328,09032,4046
329,96023,5087
330,13NL60PM01,1020
331,PM40754,3828
332,17309,4378
333,14011,4209
334,93035,9899
335,93024,9906
336,93037,9975
337,68010,9982
338,55402,6272
339,65025,6499
340,17013,4346
341,60026,5472
342,60064,5507
343,61045,5557
344,42029,5895
345,42018,5886
346,61088,5595
347,61124,6981
348,63024,5711
349,93011,4728
350,41020,5830
351,PM31851,6938
352,55037,6251
353,57017,6346
354,57019,9839
355,59022,3786
356,59024,6377
357,64005,6392
358,65004,6422
359,65023,6437
360,67008,6113
361,67012,6117
362,75409,6581
363,79022,3458
364,82405,5224
365,27006,4842
366,27030,4847
367,36012,4880
368,02042,3886
369,50030,3574
370,06037,3977
371,06306,3989
372,13013,4161
373,16053,4324
374,84039,9848
375,85012,5286
376,19018,4418
377,19019,7068
378,14RN27PM01,7120
379,PM20832,6744
380,02022,3874
381,79036,9869
382,90002,3418
383,04018,3924
384,62016,5631
385,PM10211,6646
386,PM22241,6768
387,04006,3912
388,PM32051,6781
389,87001,5336
390,08002,4003
391,29011,9907
392,29014,9908
393,29017,9927
394,67035,9946
395,43020,5431
396,60025,5471
397,61025,5538
398,61032,5544
399,61050,3642
400,44001,5907
401,61089,5596
402,61110,5614
403,62067,5679
404,63018,5705
405,90037,4711
406,40010,5792
407,41403,5864
408,46037,6043
409,47403,6106
410,55038,6252
411,71006,3679
412,82415,5210
413,38012,4933
414,39010,4964
415,39011,4965
416,39018,3420
417,39059,3446
418,49025,5056
419,02029,3564
420,06301,3984
421,06014,3959
422,14014,4210
423,14030,4229
424,84006,5298
425,84009,5241
426,17034,4365
427,20008,4424
428,01005,3844
429,34014,4632
430,35016,3503
431,35018,4655
432,60401,7082
433,15RR60PM01,1031
434,PM30472,6819
435,15306,4276
436,PM21193,6762
437,21029,3673
438,05TL00PM02,6905
439,59011,6365
440,33005,4589
441,32040,4572
442,90EL16PM01,6881
443,62073,5683
444,05008,3936
445,98004,5028
446,18RC06PM01,6833
447,PM22341,3836
448,16XC70PM01,6844
449,11001,4078
450,31020,4511
451,02044,3891
452,29302,5413
453,95005,5002
454,95010,5018
455,48005,3517
456,79013,9874
457,75402,6576
458,87032,9986
459,73006,6547
460,32047,4577
461,60020,5467
462,61071,6980
463,62032,5648
464,62070,7111
465,62079,5689
466,63010,5698
467,92007,7097
468,40016,5796
469,41004,5814
470,41052,5860
471,44009,5915
472,44032,5930
473,PM10754,6667
474,PM10985,6678
475,46035,6041
476,98023,5165
477,05019,3798
478,PM20261,6720
479,55028,6245
480,59009,6363
481,64006,6393
482,70001,6495
483,71401,6537
484,74001,6548
485,74005,6552
486,76007,3789
487,78008,6598
488,79016,3457
489,24008,4745
490,25030,4796
491,26019,4828
492,26027,4834
493,38028,4947
494,39014,4968
495,39020,4973
496,48016,5013
497,48093,5030
498,06028,3968
499,09004,3753
500,12041,4147
501,11017,4088
502,13004,3523
503,80012,5157
504,80013,5158
505,80028,5171
506,14033,4233
507,15013,4253
508,13042,4184
509,16301,4333
510,17040,4371
511,16045,4316
512,21014,4436
513,98028,5167
514,31058,4536
515,30022,4491
516,34012,4630
517,43004,5417
518,35028,4665
519,14RE35PM01,1030
520,07010,3612
521,94021,5402
522,17020,4352
523,96040,3628
524,22006,4459
525,18RU04PM01,1045
526,87012,5347
527,97056,4136
528,45408,6001
529,01019,3853
530,42408,5905
531,90025,9972
532,02069,9979
533,38051,9985
534,71039,6504
535,60066,5508
536,61092,5599
537,63006,3583
538,63025,5712
539,63028,5715
540,92003,5757
541,40024,5804
542,45037,5982
543,PM12781,3801
544,PM13104,6710
545,65041,6452
546,46036,6042
547,46407,6052
548,47035,6096
549,53011,6142
550,54027,6930
551,31050,4529
552,37031,4910
553,37035,4913
554,55054,6265
555,55055,6266
556,56040,6320
557,56043,6323
558,64010,6397
559,64012,6399
560,65033,6444
561,67023,6463
562,70014,6504
563,73002,6960
564,73003,6961
565,24028,4761
566,24030,4763
567,25024,4790
568,26026,4833
569,39025,4978
570,03003,9842
571,51029,5127
572,81013,5193
573,85007,5281
574,85008,5282
575,30009,3675
576,33030,4613
577,14VE04PM01,1027
578,41044,5852
579,35009,3526
580,04TL40PM01,6900
581,01018,3562
582,93006,4723
583,32024,3824
584,97306,7072
585,98002,5026
586,71005,3710
587,04005,3461
588,97112,7023
589,87011,5346
590,11018,4089
591,86018,5322
592,86029,5330
593,13055,4195
594,84047,9901
595,16049,4320
596,17043,7066
597,50013,3655
598,20007,10023
599,17019,4351
600,61056,5567
601,61057,5568
602,42019,5887
603,61073,5584
604,61121,7092
605,62018,5633
606,62031,5647
607,90009,4694
608,97102,4126
609,PM10242,6649
610,PM12622,6817
611,PM12641,6699
612,46028,6035
613,55056,6267
614,55406,6276
615,59028,6382
616,59029,6383
617,71004,3709
618,71030,6529
619,73001,6959
620,79034,9867
621,82013,5212
622,88007,5363
623,88013,5369
624,89001,5373
625,24010,4747
626,24037,4767
627,25041,4806
628,28005,4859
629,28023,4877
630,36013,5204
631,39036,4984
632,02030,3878
633,09005,4021
634,04010,3916
635,04016,3922
636,13016,4164
637,13023,4169
638,10020,3610
639,15021,4258
640,85018,5292
641,23004,4470
642,34009,4627
643,35045,3442
644,43007,3677
645,10009,4057
646,64030,6413
647,13039,4181
648,PM20912,6750
649,94008,3590
650,33016,4599
651,05FT37PM01,1002
652,09NC51PM01,1052
653,19XC80PM01,7122
654,84024,5259
655,96042,5109
